HolderAddress,Balance,PendingBalanceUpdate
0x945295d8efe2b63ad5a9239ac5c1b4d28e90bb7c,"3,581.403426854250000000",No
0x567abe53b9ea582245e35f31195b11cb23cb0057,"3,387.900584301820000000",No
0xe2008ef79a7d0d75edae70263384d4ac5d1a9f9a,25,No
0xdf4b707ca2283c55603a7b89eb96bf7f7fbfcb1d,25,No
0x31b47c9b70f6ed771457b99ed92585938e2c43cf,25,No
0xec11ea6d580cfc98b122044cd71353f31088a0f1,25,No
0x3a8fa3367cbeabb9d4befec7c8d85f88a9347a4b,25,No
0x396d340385d6b048fb015bcadc363d86e8c0506c,25,No
0x23cb840946df9354421127f44fb56fb9348b4bb5,25,No
0x27d42899717010a236534dda3da2bec2704dde2b,25,No
0x466bed28bdf60959add2cfd50db05fbe12cad010,25,No
0x4b98cf1069dffefda6b957f125f7a797e9aa4b06,25,No
0x6ea7ac7ee00e5f90de01b44d444deaa0e3f460a8,25,No
0xf274c101710f106c2bcbb82d89f050b9930a665f,25,No
0xe81bbee3741ff986ecf1e12b2642b09387fe5c52,25,No
0x6b420c0705c310d1e868cc3b668661efc9263e7e,25,No
0xa919fe920a3af7e55daa863f785c765a0c1b90ac,25,No
0x4fd963c81214fd9c1ca68bbafce56f4c66ee0443,24.913596316701100000,No
0xa36662b4b5b5445c7090faf3a91a5c72919b2ac6,24.9,No
0x73caabbff36edab13a6b48914efd1a50a3200fc4,24.9,No
0x3c74df2bcc3ecea9ffc281edb90612377349b78f,24.9,No
0x3bd56d442ec9c0839baf087ab7c36645c95b0fdd,24.9,No
0xda34de190e4cee99507d518dad3c3f76fa01f029,24.9,No
0x6330520427e479caa3d7594bdc7faf34e76697d9,24.9,No
0x6cdc666ca20d8b09d4b92f0f6de77b650625fabe,24.9,No
0xdfbc88cc9b18a46c774dce13e42fb93810207538,24.9,No
0x8a017acba632d70aa41101ef6179a5da58cd408e,24.9,No
0x88c46c53d83a911b831f4869dd1fb3f497f94316,24.9,No
0x2799bef44321d053f3ff81fcbcd5863ae8ef3023,24.873056897318800000,No
0x5c538d3e8ea308a52563694ce265b46c86f869dd,24.868562150275900000,No
0x397b25001f0fc0f3dbabce5739fd69254b74568d,24.859996355442800000,No
0x0ef7a776e9cd45b69ef0aaeca589ada6d36d550b,24.751225600301400000,No
0x13f05783f0f6acb50e52c8c590ca658a6c43406a,24.751219620935600000,No
0x6514396f41c8538576dce72ad573761f3fe2e0f2,24.751213699631400000,No
0x4d7029ad0dc69d1ae72e36dfd6972768d92e7ef0,24.751207835547000000,No
0xbe7e9aaa5f4ec50fc3d0fc5d86c3fb6a41a43b9b,24.751202027857000000,No
0x579dfbec7396cfec677c110384f5248e21574622,24.751196275751900000,No
0x2b41bbf02096f0e706000f9585c8a0d2887b2bb1,24.751190578437400000,No
0xd12a32b60e056eaa0de863e6d742ef4349fa6c9d,24.751184935134300000,No
0xd5883d39305958b95bffe0b7bf0c3b94984d7647,24.751179345078300000,No
0x140140865045898b2705716bd1caf422dd10d932,24.751173807519200000,No
0x2ec74da8253c7ece67718ef5d8b78c7c33869440,24.70178074638360000,No
0xcf4e7b44a43902f54b18064d002b6c0b86e391a7,24.686549421856000000,No
0xf2ddddb94e93e59865975c71e78d9cf1bda152d9,24.618013956487100000,No
0x0520b79dd919cf364a609489e5e09e7dd50b1989,24.524926126118100000,No
0x1e930a30f462e9cdb2fb1a6a53b9f5307377a642,24.497082544849900000,No
0x921d130796f591a874c18c608cb788e6a2f97bf3,24.487500790178500000,No
0x1e8c000cca4d61c60255704ab827b03e8700129d,24.484885420587200000,No
0x8c0c8d676fdfd1717b16b61bd0037001ff100e78,24.483903626336600000,No
0x65d08d84d179919e06d11dac4f9922b404076e5f,24.392110590206100000,No
0x86946fd4762e29fb5740354ad023bc61ee07d7a1,24.373158805046100000,No
